,N. parvum,X. sp.,descriptions
PF03836,1,2,RasGAP C-terminus
PF08641,1,1,Kinetochore protein Mis14 like
PF01569,6,1,PAP2 superfamily
PF14378,3,0,PAP2 superfamily
PF01728,3,5,FtsJ-like methyltransferase
PF04506,1,0,Rft protein
PF13440,1,0,Polysaccharide biosynthesis protein
PF13302,6,10,Acetyltransferase (GNAT) domain
PF01734,7,6,Patatin-like phospholipase
PF04212,1,2,MIT (microtubule interacting and transport) domain
PF08511,1,1,COQ9
PF19189,1,0,Mtf2 family
PF02594,1,0,"Uncharacterised ACR, YggU family COG1872"
PF04479,11,2,RTA1 like protein
PF12717,6,5,non-SMC mitotic condensation complex subunit 1
PF12868,1,0,Domain of unknwon function (DUF3824)
PF09402,1,1,Man1-Src1p-C-terminal domain
PF12949,1,1,HeH/LEM domain
PF08592,5,1,Anthrone oxygenase
PF00935,1,0,Ribosomal protein L44
PF00533,11,6,BRCA1 C Terminus (BRCT) domain
PF00817,3,3,impB/mucB/samB family
PF16589,3,2,"BRCT domain, a BRCA1 C-terminus domain"
PF16727,1,1,DNA repair protein REV1 C-terminal domain
PF17800,1,1,Nucleoplasmin-like domain
PF03226,2,2,"Yippee zinc-binding/DNA-binding /Mis18, centromere assembly"
PF06733,2,1,DEAD_2
PF06777,1,1,Helical and beta-bridge domain
PF13307,2,1,Helicase C-terminal domain
PF06544,1,1,Protein of unknown function (DUF1115)
PF08572,1,1,pre-mRNA processing factor 3 (PRP3)
PF00623,3,3,"RNA polymerase Rpb1, domain 2"
PF04983,3,3,"RNA polymerase Rpb1, domain 3"
PF04997,3,3,"RNA polymerase Rpb1, domain 1"
PF04998,3,3,"RNA polymerase Rpb1, domain 5"
PF05000,3,3,"RNA polymerase Rpb1, domain 4"
PF10241,1,1,Uncharacterized conserved protein
PF05630,3,3,Necrosis inducing protein (NPP1)
PF00708,1,1,Acylphosphatase
PF08580,1,1,Yeast cortical protein KAR9
PF07264,3,0,Etoposide-induced protein 2.4 (EI24)
PF03069,1,0,Acetamidase/Formamidase family
PF12657,1,0,Transcription factor IIIC subunit delta N-term
PF03398,1,0,Regulator of Vps4 activity in the MVB pathway
PF01280,1,1,Ribosomal protein L19e
PF05670,2,2,NFACT protein RNA binding domain
PF11923,1,1,NFACT protein C-terminal domain
PF05833,1,1,NFACT N-terminal and middle domains
PF01217,4,4,Clathrin adaptor complex small chain
PF00731,1,1,AIR carboxylase
PF02222,5,5,ATP-grasp domain
PF17769,1,1,Phosphoribosylaminoimidazole carboxylase C-terminal domain
PF00307,6,4,Calponin homology (CH) domain
PF02148,3,1,Zn-finger in ubiquitin-hydrolases and other protein
PF17807,1,0,Variant UBP zinc finger
PF04931,1,1,DNA polymerase phi
PF01336,7,5,OB-fold nucleic acid binding domain
PF02721,1,0,Domain of unknown function DUF223
PF08646,1,1,Replication factor-A C terminal domain
PF02656,3,4,Domain of unknown function (DUF202)
PF09359,2,2,VTC domain
PF06424,1,1,"PRP1 splicing factor, N-terminal"
PF13428,3,3,Tetratricopeptide repeat
PF05188,5,4,MutS domain II
PF05192,6,6,MutS domain III
PF00488,6,6,MutS domain V
PF13532,5,6,2OG-Fe(II) oxygenase superfamily
PF08622,1,1,Svf1-like N-terminal lipocalin domain
PF17187,1,1,Svf1-like C-terminal lipocalin-like domain
PF00128,5,2,"Alpha amylase, catalytic domain"
PF20415,1,0,Family of unknown function (DUF6699)
PF00347,2,2,Ribosomal protein L6
PF13826,1,0,Domain of unknown function (DUF4188)
PF02629,3,2,CoA binding domain
PF13607,2,1,Succinyl-CoA ligase like flavodoxin domain
PF04121,1,0,Nuclear pore protein 84 / 107
PF05729,12,33,NACHT domain
PF05187,1,1,"Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S"
PF03849,1,1,Transcription factor Tfb2
PF18307,1,1,Transcription factor Tfb2 (p52) C-terminal domain
PF10156,1,1,Subunit 17 of Mediator complex
PF06437,1,1,IMP-specific 5'-nucleotidase
PF00365,1,1,Phosphofructokinase
PF02136,2,2,Nuclear transport factor 2 (NTF2) domain
PF10233,1,1,Uncharacterized conserved protein CG6151-P
PF11489,1,1,Altered inheritance of mitochondria protein 21
PF03630,1,1,Fumble
PF00781,2,2,Diacylglycerol kinase catalytic domain
PF01202,3,3,Shikimate kinase
PF01487,2,3,Type I 3-dehydroquinase
PF08501,3,4,Shikimate dehydrogenase substrate binding domain
PF18317,2,1,Shikimate 5'-dehydrogenase C-terminal domain
PF01261,3,2,Xylose isomerase-like TIM barrel
PF01220,1,1,Dehydroquinase class II
PF00775,9,6,Dioxygenase
PF04444,3,2,Catechol dioxygenase N terminus
PF11899,1,1,Protein of unknown function (DUF3419)
PF03248,1,0,Rer1 family
PF00378,10,9,Enoyl-CoA hydratase/isomerase
PF16113,9,6,Enoyl-CoA hydratase/isomerase
PF02854,4,3,MIF4G domain
PF12152,1,1,Eukaryotic translation initiation factor 4G1
PF11957,1,1,THO complex subunit 1 transcription elongation factor
PF07962,1,0,Replication Fork Protection Component Swi3
PF08148,2,1,DSHCT (NUC185) domain
PF13234,2,1,rRNA-processing arch domain
PF17911,1,0,Ski2 N-terminal region
PF13344,4,4,Haloacid dehalogenase-like hydrolase
PF08719,2,1,NADAR domain
PF00929,5,7,Exonuclease
PF00136,4,4,DNA polymerase family B
PF03104,3,4,"DNA polymerase family B, exonuclease domain"
PF08996,1,1,DNA Polymerase alpha zinc finger
PF12254,1,1,DNA polymerase alpha subunit p180 N terminal
PF00251,2,2,Glycosyl hydrolases family 32 N-terminal domain
PF00703,2,8,Glycosyl hydrolases family 2
PF17753,1,2,Ig-fold domain
PF17786,1,2,Mannosidase Ig/CBM-like domain
PF08651,1,1,DASH complex subunit Duo1
PF00288,5,3,GHMP kinases N terminal domain
PF08544,3,3,GHMP kinases C terminal
PF10509,1,1,Galactokinase galactose-binding signature
PF00134,6,4,"Cyclin, N-terminal domain"
PF20150,3,21,2EXR family
PF04054,1,1,"CCR4-Not complex component, Not1"
PF12842,1,1,"CCR4-Not complex, Not1 subunit, domain of unknown function DUF3819"
PF16415,1,1,CCR4-NOT transcription complex subunit 1 CAF1-binding domain
PF16417,1,1,CCR4-NOT transcription complex subunit 1 TTP binding domain
PF16418,1,1,CCR4-NOT transcription complex subunit 1 HEAT repeat
PF01237,4,3,Oxysterol-binding protein
PF00408,3,1,"Phosphoglucomutase/phosphomannomutase, C-terminal domain"
PF02878,2,1,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
PF02879,2,1,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"
PF02880,2,1,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III"
PF13434,1,2,L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase
PF00668,13,6,Condensation domain
PF02913,6,4,"FAD linked oxidases, C-terminal domain"
PF03108,1,0,MuDR family transposase
PF00380,1,2,Ribosomal protein S9/S16
PF01265,2,0,Cytochrome c/c1 heme lyase
PF03152,2,2,Ubiquitin fusion degradation protein UFD1
PF08271,1,0,TFIIB zinc-binding
PF10775,1,1,ATP synthase complex subunit h
PF08578,1,1,Protein of unknown function (DUF1765)
PF01294,1,1,Ribosomal protein L13e
PF04893,3,1,Yip1 domain
PF03169,8,3,OPT oligopeptide transporter protein
PF08740,2,4,BCS1 N terminal
PF01169,1,1,Uncharacterized protein family UPF0016
PF04116,3,3,Fatty acid hydroxylase
PF12813,1,1,XPG domain containing
PF10255,1,0,RNA polymerase I-associated factor PAF67
PF00205,5,5,"Thiamine pyrophosphate enzyme, central domain"
PF02775,6,4,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain"
PF02776,5,5,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain"
PF00650,5,5,CRAL/TRIO domain
PF13041,5,4,PPR repeat family
PF03070,1,0,TENA/THI-4/PQQC family
PF08543,1,1,Phosphomethylpyrimidine kinase
PF04139,2,2,Rad9
PF04178,1,0,Got1/Sft2-like family
PF08265,1,2,YL1 nuclear protein C-terminal domain
PF00793,2,2,DAHP synthetase I family
PF02889,3,4,Sec63 Brl domain
PF13774,3,2,Regulated-SNARE-like domain
PF17784,6,6,Sulfotransferase domain
PF09286,7,4,"Pro-kumamolisin, activation domain"
PF08064,1,1,UME (NUC010) domain
PF14138,1,1,Cytochrome c oxidase assembly protein COX16
PF00383,5,8,Cytidine and deoxycytidylate deaminase zinc-binding region
PF14437,3,2,MafB19-like deaminase
PF03659,10,3,Glycosyl hydrolase family 71
PF13300,1,1,Domain of unknown function (DUF4078)
PF00742,1,0,Homoserine dehydrogenase
PF13945,1,0,Salt tolerance down-regulator
PF00828,2,3,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A"
PF09994,5,6,Uncharacterized alpha/beta hydrolase domain (DUF2235)
PF00352,1,1,"Transcription factor TFIID (or TATA-binding protein, TBP)"
PF00230,7,1,Major intrinsic protein
PF11160,3,1,Hypervirulence associated proteins TUDOR domain
PF01095,1,3,Pectinesterase
PF00043,12,15,"Glutathione S-transferase, C-terminal domain"
PF13410,13,12,"Glutathione S-transferase, C-terminal domain"
PF14497,8,12,"Glutathione S-transferase, C-terminal domain"
PF00176,18,20,SNF2-related domain
PF01154,1,1,Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF08540,1,1,Hydroxymethylglutaryl-coenzyme A synthase C terminal
PF13374,8,12,Tetratricopeptide repeat
PF17107,2,1,N-terminal domain on NACHT_NTPase and P-loop NTPases
PF03985,1,0,Paf1
PF00857,7,8,Isochorismatase family
PF00924,2,2,Mechanosensitive ion channel
PF04063,1,0,Domain of unknown function (DUF383)
PF04064,1,0,Domain of unknown function (DUF384)
PF05390,1,0,Yeast cell wall synthesis protein KRE9/KNH1 C-terminal
PF10342,4,3,Kre9/KNH-like N-terminal Ig-like domain
PF08613,4,6,Cyclin
PF04515,2,1,Plasma-membrane choline transporter
PF00962,3,3,Adenosine deaminase
PF08451,1,0,Adenosine/AMP deaminase N-terminal
PF05089,1,1,Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
PF12971,1,1,Alpha-N-acetylglucosaminidase (NAGLU) N-terminal domain
PF12972,1,1,Alpha-N-acetylglucosaminidase (NAGLU) C-terminal domain
PF01232,1,0,Mannitol dehydrogenase Rossmann domain
PF08125,1,0,Mannitol dehydrogenase C-terminal domain
PF09668,1,1,Aspartyl protease
PF13650,1,1,Aspartyl protease
PF13975,1,1,gag-polyprotein putative aspartyl protease
PF02502,1,0,Ribose/Galactose Isomerase
PF11327,2,4,Egh16-like virulence factor
PF01018,1,1,GTP1/OBG
PF10645,1,0,Carbohydrate binding
PF03941,1,0,"Inner centromere protein, ARK binding region"
PF03576,1,1,Peptidase family S58
PF13621,4,4,Cupin-like domain
PF00653,1,1,Inhibitor of Apoptosis domain
PF09139,1,0,"Phosphatidate cytidylyltransferase, mitochondrial"
PF08611,1,0,Fungal protein of unknown function (DUF1774)
PF07976,5,4,"Phenol hydroxylase, C-terminal dimerisation domain"
PF01428,1,3,AN1-like Zinc finger
PF06417,1,1,Protein of unknown function (DUF1077)
PF01644,3,3,Chitin synthase
PF08407,3,3,Chitin synthase N-terminal
PF12539,1,1,Chromosome segregation protein Csm1/Pcs1
PF00833,1,1,Ribosomal S17
PF11709,1,1,Mitochondrial ribosomal protein subunit
PF04181,1,1,Rtr1/RPAP2 family
PF00082,14,19,Subtilase family
PF02872,1,2,"5'-nucleotidase, C-terminal domain"
PF03221,2,1,Tc5 transposase DNA-binding domain
PF05920,2,3,Homeobox KN domain
PF00596,6,5,Class II Aldolase and Adducin N-terminal domain
PF01650,1,0,Peptidase C13 family
PF04457,1,2,MJ1316 RNA cyclic group end recognition domain
PF04928,1,3,Poly(A) polymerase central domain
PF13563,1,1,2'-5' RNA ligase superfamily
PF03595,4,3,Voltage-dependent anion channel
PF00752,4,4,XPG N-terminal domain
PF00867,5,5,XPG I-region
PF18380,1,1,Holliday junction resolvase Gen1 C-terminal domain
PF02403,2,2,Seryl-tRNA synthetase N-terminal domain
PF11807,3,16,Mycotoxin biosynthesis protein UstYa
PF15508,1,1,beta subunit of N-acylethanolamine-hydrolyzing acid amidase
PF00916,3,3,Sulfate permease family
PF01740,3,4,STAS domain
PF03798,2,4,TLC domain
PF03159,2,2,XRN 5'-3' exonuclease N-terminus
PF17846,2,2,Xrn1 helical domain
PF04869,1,1,"Uso1 / p115 like vesicle tethering protein, head region"
PF04871,1,1,"Uso1 / p115 like vesicle tethering protein, C terminal region"
PF00133,4,3,"tRNA synthetases class I (I, L, M and V)"
PF19302,1,1,Domain of unknown function (DUF5915)
PF08457,1,0,Sfi1 spindle body protein
PF12234,1,1,RAVE protein 1 C terminal
PF00326,6,8,Prolyl oligopeptidase family
PF16862,4,4,Glycosyl hydrolase family 79 C-terminal beta domain
PF09347,1,0,Domain of unknown function (DUF1989)
PF14040,2,0,Deoxyribonuclease NucA/NucB
PF13959,4,3,Domain of unknown function (DUF4217)
PF03619,1,2,Organic solute transporter Ostalpha
PF11710,6,3,G protein-coupled glucose receptor regulating Gpa2
PF12340,2,2,Protein of unknown function (DUF3638)
PF12359,2,2,Protein of unknown function (DUF3645)
PF20255,2,2,Family of unknown function (DUF6606)
PF00188,4,2,Cysteine-rich secretory protein family
PF06912,2,2,Protein of unknown function (DUF1275)
PF01432,4,2,Peptidase family M3
PF20173,1,1,Family of unknown function (DUF6539)
PF13455,2,1,Meiotically up-regulated gene 113
PF00012,5,6,Hsp70 protein
PF06723,5,5,MreB/Mbl protein
PF10313,1,0,Uncharacterised protein domain (DUF2415)
PF00291,13,6,Pyridoxal-phosphate dependent enzyme
PF01757,7,6,Acyltransferase family
PF07110,4,3,EthD domain
PF03893,2,0,Lipase 3 N-terminal region
PF01656,4,3,CobQ/CobB/MinD/ParA nucleotide binding domain
PF02374,1,1,Anion-transporting ATPase
PF13614,2,1,AAA domain
PF09110,1,1,HAND
PF09111,1,1,SLIDE
PF00930,2,2,Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF00734,8,8,Fungal cellulose binding domain
PF12171,5,4,Zinc-finger double-stranded RNA-binding
PF12874,8,6,Zinc-finger of C2H2 type
PF03937,1,1,Flavinator of succinate dehydrogenase
PF16679,1,1,DNA replication factor Cdt1 C-terminal domain
PF16541,3,0,Alternaria alternata allergen 1
PF01105,4,3,emp24/gp25L/p24 family/GOLD
PF00569,5,3,"Zinc finger, ZZ type"
PF16158,1,1,Ig-like domain from next to BRCA1 gene
PF13640,2,9,2OG-Fe(II) oxygenase superfamily
PF14200,1,3,Ricin-type beta-trefoil lectin domain-like
PF10213,1,1,Mitochondrial ribosomal subunit protein
PF04101,1,0,Glycosyltransferase family 28 C-terminal domain
PF01872,1,1,RibD C-terminal domain
PF01450,1,0,"Acetohydroxy acid isomeroreductase, catalytic domain"
PF07991,1,0,"Acetohydroxy acid isomeroreductase, NADPH-binding domain"
PF19117,1,1,Mitochondrial import 2
PF01987,2,2,Mitochondrial biogenesis AIM24
PF10455,1,1,Bin/amphiphysin/Rvs domain for vesicular trafficking
PF04090,1,0,RNA polymerase I specific initiation factor
PF00204,1,1,DNA gyrase B
PF00521,1,1,"DNA gyrase/topoisomerase IV, subunit A"
PF01751,2,2,Toprim domain
PF16898,1,1,C-terminal associated domain of TOPRIM
PF08598,2,2,Sds3-like
PF02811,1,1,PHP domain
PF02845,4,1,CUE domain
PF13378,4,2,Enolase C-terminal domain-like
PF17903,2,1,Krr1 KH1 domain
PF17851,3,4,Beta xylosidase C-terminal Concanavalin A-like domain
PF14022,1,0,Protein of unknown function (DUF4238)
PF04716,1,1,ETC complex I subunit conserved region
PF04468,1,1,PSP1 C-terminal conserved region
PF04564,1,1,U-box domain
PF00827,1,1,Ribosomal L15
PF02201,2,2,SWIB/MDM2 domain
PF01124,4,4,MAPEG family
PF01184,2,3,GPR1/FUN34/yaaH family
PF13577,5,5,SnoaL-like domain
PF14661,1,1,HAUS augmin-like complex subunit 6 N-terminus
PF12917,1,0,5'-deoxynucleotidase YfbR-like
PF13023,1,1,HD domain
PF10294,7,6,Lysine methyltransferase
PF02734,2,2,DAK2 domain
PF06470,4,2,SMC proteins Flexible Hinge Domain
PF13175,2,2,AAA ATPase domain
PF02219,2,2,Methylenetetrahydrofolate reductase
PF00465,3,1,Iron-containing alcohol dehydrogenase
PF13685,4,0,Iron-containing alcohol dehydrogenase
PF03694,1,0,Erg28 like protein
PF01087,1,0,"Galactose-1-phosphate uridyl transferase, N-terminal domain"
PF02744,1,0,"Galactose-1-phosphate uridyl transferase, C-terminal domain"
PF00638,2,1,RanBP1 domain
PF01433,3,2,Peptidase family M1 domain
PF09127,1,0,"Leukotriene A4 hydrolase, C-terminal"
PF17900,3,2,Peptidase M1 N-terminal domain
PF00001,1,1,7 transmembrane receptor (rhodopsin family)
PF05462,2,2,Slime mold cyclic AMP receptor
PF00999,7,5,Sodium/hydrogen exchanger family
PF03051,1,1,Peptidase C1-like family
PF03473,4,5,MOSC domain
PF03476,4,2,MOSC N-terminal beta barrel domain
PF13347,1,0,MFS/sugar transport protein
PF00709,1,1,Adenylosuccinate synthetase
PF09444,1,1,MRC1-like domain
PF03232,1,1,Ubiquinone biosynthesis protein COQ7
PF03126,1,1,Plus-3 domain
PF18345,2,0,Zinc finger domain
PF00995,4,5,Sec1 family
PF09405,1,0,CASC3/Barentsz eIF4AIII binding
PF15409,1,2,Pleckstrin homology domain
PF16983,1,1,Molybdate transporter of MFS superfamily
PF06331,1,1,Transcription factor TFIIH complex subunit Tfb5
PF00610,4,4,"Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP)"
PF00432,3,4,Prenyltransferase and squalene oxidase repeat
PF09797,1,1,N-acetyltransferase B complex (NatB) non catalytic subunit
PF17886,1,0,HSP20-like domain found in ArsA
PF13912,3,2,C2H2-type zinc finger
PF13656,2,1,RNA polymerase Rpb3/Rpb11 dimerisation domain
PF01808,1,1,AICARFT/IMPCHase bienzyme
PF02142,2,2,MGS-like domain
PF11838,2,2,ERAP1-like C-terminal domain
PF00478,3,4,IMP dehydrogenase / GMP reductase domain
PF03060,5,3,Nitronate monooxygenase
PF09728,1,1,Myosin-like coiled-coil protein
PF08367,1,1,Peptidase M16C associated
PF04042,3,3,DNA polymerase alpha/epsilon subunit B
PF18018,1,1,DNA polymerase delta subunit OB-fold domain
PF08118,1,1,Yeast mitochondrial distribution and morphology (MDM) proteins
PF13893,2,3,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF06201,2,2,PITH domain
PF13894,4,1,C2H2-type zinc finger
PF01902,1,0,Diphthamide synthase
PF07818,1,1,HCNGP-like protein
PF10277,3,2,Frag1/DRAM/Sfk1 family
PF01158,1,1,Ribosomal protein L36e
PF00789,5,5,UBX domain
PF11470,1,1,TUG ubiquitin-like domain
PF02167,1,1,Cytochrome C1 family
PF09173,1,1,"Initiation factor eIF2 gamma, C terminal"
PF07281,1,1,Insulin-induced protein (INSIG)
PF01476,4,5,LysM domain
PF12296,3,2,Hydrophobic surface binding protein A
PF09056,1,0,Prokaryotic phospholipase A2
PF00637,4,3,Region in Clathrin and VPS
PF05131,1,1,Pep3/Vps18/deep orange family
PF13622,1,3,Thioesterase-like superfamily
PF01634,1,1,ATP phosphoribosyltransferase
PF08029,1,0,"HisG, C-terminal domain"
PF01200,2,1,Ribosomal protein S28e
PF08797,2,1,HIRAN domain
PF12063,1,1,Domain of unknown function (DUF3543)
PF00416,1,2,Ribosomal protein S13/S18
PF00194,2,1,Eukaryotic-type carbonic anhydrase
PF02535,4,3,ZIP Zinc transporter
PF07942,1,0,Carnosine N-methyltransferase
PF13409,15,8,"Glutathione S-transferase, N-terminal domain"
PF10203,1,1,Cytochrome c oxidase assembly protein PET191
PF04083,2,1,Partial alpha/beta-hydrolase lipase region
PF02798,9,11,"Glutathione S-transferase, N-terminal domain"
PF13417,13,13,"Glutathione S-transferase, N-terminal domain"
PF07719,5,8,Tetratricopeptide repeat
PF12895,2,1,"Anaphase-promoting complex, cyclosome, subunit 3"
PF13174,3,2,Tetratricopeptide repeat
PF05620,1,0,SRP-independent targeting protein 2/TMEM208
PF01027,2,1,Inhibitor of apoptosis-promoting Bax1
PF05783,1,0,Dynein light intermediate chain (DLIC)
PF00621,7,7,RhoGEF domain
PF15405,2,2,Pleckstrin homology domain
PF02615,1,2,Malate/L-lactate dehydrogenase
PF05141,2,0,Pyoverdine/dityrosine biosynthesis protein
PF09070,1,1,PFU (PLAA family ubiquitin binding)
PF04209,3,1,"Homogentisate 1,2-dioxygenase C-terminal"
PF20510,3,1,"Homogentisate 1,2-dioxygenase N-terminal"
PF01086,1,1,Clathrin light chain
PF06090,1,1,Inositol-pentakisphosphate 2-kinase
PF01910,1,0,Thiamine-binding protein
PF01039,2,2,Carboxyl transferase domain
PF08326,1,1,"Acetyl-CoA carboxylase, central region"
PF09784,1,0,Mitochondrial ribosomal protein L31
PF04628,3,3,"Sedlin, N-terminal conserved region"
PF04880,1,1,"NUDE protein, C-terminal conserved region"
PF01564,2,1,Spermine/spermidine synthase domain
PF12239,1,3,Protein of unknown function (DUF3605)
PF12298,1,1,Eukaryotic mitochondrial regulator protein
PF03234,1,0,Cdc37 N terminal kinase binding
PF08564,1,0,Cdc37 C terminal domain
PF08565,1,0,Cdc37 Hsp90 binding domain
PF12906,1,1,RING-variant domain
PF09734,1,0,RNA polymerase III transcription factor (TF)IIIC subunit HTH domain
PF17682,1,0,Tau95 Triple barrel domain
PF01603,1,0,Protein phosphatase 2A regulatory B subunit (B56 family)
PF01151,3,2,GNS1/SUR4 family
PF02284,1,1,Cytochrome c oxidase subunit Va
PF02769,2,2,"AIR synthase related protein, C-terminal domain"
PF13507,1,1,CobB/CobQ-like glutamine amidotransferase domain
PF18072,1,1,Formylglycinamide ribonucleotide amidotransferase linker domain
PF18076,1,1,Formylglycinamide ribonucleotide amidotransferase N-terminal
PF09177,1,1,"Syntaxin 6, N-terminal"
PF01702,1,2,Queuine tRNA-ribosyltransferase
PF01793,3,5,Glycolipid 2-alpha-mannosyltransferase
PF04130,4,5,Gamma tubulin complex component C-terminal
PF17681,4,5,Gamma tubulin complex component N-terminal
PF01406,1,1,tRNA synthetases class I (C) catalytic domain
PF19373,1,0,Family of unknown function (DUF5948)
PF12708,1,5,Pectate lyase superfamily protein
PF00174,2,2,Oxidoreductase molybdopterin binding domain
PF00570,2,1,HRDC domain
PF01612,2,3,3'-5' exonuclease
PF02127,2,2,Aminopeptidase I zinc metalloprotease (M18)
PF14510,6,3,ABC-transporter N-terminal
PF00300,8,11,Histidine phosphatase superfamily (branch 1)
PF00334,1,0,Nucleoside diphosphate kinase
PF13802,3,3,Galactose mutarotase-like
PF17137,1,0,Domain of unknown function (DUF5110)
PF08219,1,1,Outer membrane protein TOM13
PF08059,1,1,SEP domain
PF14555,3,3,UBA-like domain
PF09296,1,0,NADH pyrophosphatase-like rudimentary NUDIX domain
PF03517,1,1,Regulator of volume decrease after cellular swelling
PF13243,1,3,Squalene-hopene cyclase C-terminal domain
PF13249,1,3,Squalene-hopene cyclase N-terminal domain
PF12585,1,1,Protein of unknown function (DUF3759)
PF03105,2,1,SPX domain
PF20175,1,1,Tra1 HEAT repeat central region
PF20206,1,1,Tra1 HEAT repeat ring region
PF00749,2,2,"tRNA synthetases class I (E and Q), catalytic domain"
PF03950,2,1,"tRNA synthetases class I (E and Q), anti-codon binding domain"
PF04185,3,3,Phosphoesterase family
PF04979,1,1,Protein phosphatase inhibitor 2 (IPP-2)
PF02902,5,3,"Ulp1 protease family, C-terminal catalytic domain"
PF08772,1,1,Nin one binding (NOB1) Zn-ribbon like
PF17146,1,1,PIN domain of ribonuclease
PF04135,1,1,"Nucleolar RNA-binding protein, Nop10p family"
PF06094,1,4,"Gamma-glutamyl cyclotransferase, AIG2-like"
PF01127,1,1,Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF14622,4,4,Ribonuclease-III-like
PF08214,1,1,Histone acetylation protein
PF01068,3,2,ATP dependent DNA ligase domain
PF04675,4,4,DNA ligase N terminus
PF09414,3,2,RNA ligase
PF12253,1,1,Chromatin assembly factor 1 subunit A
PF08605,1,0,Fungal Rad9-like Rad53-binding
PF18115,2,1,DNA repair protein Crb2 Tudor domain
PF00743,2,1,Flavin-binding monooxygenase-like
PF04049,1,1,Anaphase promoting complex subunit 8 / Cdc23
PF13414,4,4,TPR repeat
PF16187,1,1,Middle or third domain of peptidase_M16
PF04573,1,1,Signal peptidase subunit
PF10260,1,0,Uncharacterized conserved domain (SAYSvFN)
PF12719,1,1,"Nuclear condensing complex subunits, C-term domain"
PF13679,1,1,Methyltransferase domain
PF01368,1,1,DHH family
PF02833,1,1,DHHA2 domain
PF09423,2,2,PhoD-like phosphatase
PF01841,3,3,Transglutaminase-like superfamily
PF18129,1,1,Xrn1 SH3-like domain
PF18194,1,1,Exoribonuclease 1 Domain-3
PF18332,1,1,Exoribonuclease Xrn1 D1 domain
PF18334,1,1,Exoribonuclease Xrn1 D2/D3 domain
PF12265,2,2,Histone-binding protein RBBP4 or subunit C of CAF1 complex
PF10276,1,0,Zinc-finger domain
PF06824,3,2,Metal-independent alpha-mannosidase (GH125)
PF01894,1,0,Uncharacterised protein family UPF0047
PF01227,1,1,GTP cyclohydrolase I
PF04321,7,6,RmlD substrate binding domain
PF01205,2,2,Uncharacterized protein family UPF0029
PF05773,5,3,RWD domain
PF05693,1,1,Glycogen synthase
PF07928,1,2,Vps54-like protein
PF00641,1,1,Zn-finger in Ran binding protein and others
PF01384,2,2,Phosphate transporter family
PF10609,3,3,NUBPL iron-transfer P-loop NTPase
PF13768,2,2,von Willebrand factor type A domain
PF14623,1,0,Hint-domain
PF14624,1,0,VWA / Hh  protein intein-like
PF08058,1,0,Nuclear pore complex component
PF01121,1,1,Dephospho-CoA kinase
PF13606,20,68,Ankyrin repeat
PF01245,1,0,Ribosomal protein L19
PF00956,2,3,Nucleosome assembly protein (NAP)
PF12436,2,1,ICP0-binding domain of Ubiquitin-specific protease 7
PF14533,1,1,Ubiquitin-specific protease C-terminal
PF04502,2,2,Saf4/Yju2 protein
PF09362,4,6,Domain of unknown function (DUF1996)
PF16670,1,0,"Phosphoinositide phospholipase C, Ca2+-dependent"
PF00687,2,1,Ribosomal protein L1p/L10e family
PF06148,1,1,"COG (conserved oligomeric Golgi) complex component, COG2"
PF15932,1,0,Domain of unknown function (DUF4748)
PF04003,3,3,Dip2/Utp12 Family
PF16010,3,6,Cytochrome domain of cellobiose dehydrogenase
PF13840,3,1,ACT domain
PF11931,1,1,SF3a60/Prp9 C-terminal
PF12108,1,1,Splicing factor SF3a60 binding domain
PF16837,1,1,"Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9"
PF00384,1,1,Molybdopterin oxidoreductase
PF09326,1,1,"NADH-ubiquinone oxidoreductase subunit G, C-terminal"
PF10588,1,1,NADH-ubiquinone oxidoreductase-G iron-sulfur binding region
PF13510,1,1,2Fe-2S iron-sulfur cluster binding domain
PF05879,1,1,Root hair defective 3 GTP-binding protein (RHD3) GTPase domain
PF20428,1,1,Sey1 three-helix bundle domain
PF00806,4,4,Pumilio-family RNA binding repeat
PF12584,1,1,"Trafficking protein particle complex subunit 10, TRAPPC10"
PF05645,1,1,RNA polymerase III subunit RPC82
PF08221,1,1,RNA polymerase III subunit RPC82 helix-turn-helix domain
PF04627,1,1,Mitochondrial ATP synthase epsilon chain
PF04112,1,1,"Mak10 subunit, NatC N(alpha)-terminal acetyltransferase"
PF10584,6,4,Proteasome subunit A N-terminal signature
PF04133,1,1,Vacuolar protein sorting 55
PF05255,1,1,Uncharacterised protein family (UPF0220)
PF10345,1,1,Cohesin loading factor
PF00310,1,1,Glutamine amidotransferases class-II
